Name,CMC,Type,Color,Set,Collector Number,Rarity,Color Category,Status,Finish,Maybeboard,Image URL,Image Back URL,Tags,Notes,MTGO ID
"Vapor Snag",1,"Instant",U,"mm2","66",common,u,Owned,Non-foil,false,,,"","",57322
"Lofty Denial",2,"Instant",U,"m21","56",common,u,Owned,Non-foil,false,,,"","",81339
"Deluge",3,"Instant",U,"ody","80",uncommon,u,Owned,Non-foil,false,,,"","",16887
"Gust of Wind",4,"Sorcery",U,"iko","54",common,u,Owned,Non-foil,false,,,"","",80117
"Quest for Ancient Secrets",1,"Enchantment",U,"zen","59",uncommon,u,Owned,Non-foil,false,,,"","",34778
"Favorable Winds",2,"Enchantment",U,"gnt","21",uncommon,u,Owned,Non-foil,false,,,"","",
"Birds of Paradise",1,"Creature - Bird",G,"sld","176",rare,g,Owned,Non-foil,false,,,"","",
"Jaspera Sentinel",1,"Creature - Elf Rogue",G,"khm","178",common,g,Owned,Non-foil,false,,,"","",87695
"Llanowar Augur",1,"Creature - Elf Shaman",G,"fut","129",common,g,Owned,Non-foil,false,,,"","",26774
"Skyway Sniper",1,"Creature - Elf Archer",G,"m21","206",uncommon,g,Owned,Non-foil,false,,,"","",81639
"Fauna Shaman",2,"Creature - Elf Shaman",G,"uma","164",rare,g,Owned,Non-foil,false,,,"","",70401
"Kujar Seedsculptor",2,"Creature - Elf Druid",G,"ddu","15",common,g,Owned,Non-foil,false,,,"","",
"Imperious Perfect",3,"Creature - Elf Warrior",G,"plist","177",rare,g,Owned,Non-foil,false,,,"","",
"Lys Alana Bowmaster",3,"Creature - Elf Archer",G,"cmr","241",common,g,Owned,Non-foil,false,,,"","",85264
"Silkweaver Elite",3,"Creature - Elf Archer",G,"aer","125",common,g,Owned,Non-foil,false,,,"","",62785
"Flourishing Strike",2,"Instant",G,"mh2","159",common,g,Owned,Non-foil,false,,,"","",90695
"Tangletrap",2,"Instant",G,"stx","145",common,g,Owned,Non-foil,false,,,"","",88767
"Broken Wings",3,"Instant",G,"khm","164",common,g,Owned,Non-foil,false,,,"","",87665
"Serene Remembrance",1,"Sorcery",G,"gtc","132",uncommon,g,Owned,Non-foil,false,,,"","",47895
"Needle Storm",3,"Sorcery",G,"por","179",uncommon,g,Owned,Non-foil,false,,,"","",
"Bower Passage",2,"Enchantment",G,"avr","170",uncommon,g,Owned,Non-foil,false,,,"","",44273
"Judge's Familiar",1,"Creature - Bird",UW,"rtr","218",uncommon,m,Owned,Non-foil,false,,,"","",46417
"Jubilant Skybonder",3,"Creature - Human Wizard",UW,"iko","223",uncommon,m,Owned,Non-foil,false,,,"","",80455
"Dromoka's Command",2,"Instant",GW,"dtk","221",rare,m,Owned,Non-foil,false,,,"","",56182
"Qasali Ambusher",3,"Creature - Cat Warrior",GW,"ala","184",uncommon,m,Owned,Non-foil,false,,,"","",30937
"Decisive Denial",2,"Instant",GU,"stx","177",uncommon,m,Owned,Non-foil,false,,,"","",88861
"Growth Spiral",2,"Instant",GU,"sta","61e",rare,m,Owned,Non-foil,false,,,"","",
"Jenara, Asura of War",3,"Legendary Creature - Angel",GUW,"v15","11",mythic,m,Owned,Non-foil,false,,,"","",58899
"Skyblinder Staff",1,"Artifact - Equipment",,"gtc","238",common,c,Owned,Non-foil,false,,,"","",47863
"Cranial Archive",2,"Artifact",,"ktk","218",uncommon,c,Owned,Non-foil,false,,,"","",54456
