Name,CMC,Type,Color,Set,Collector Number,Rarity,Color Category,Status,Finish,Maybeboard,Image URL,Image Back URL,Tags,Notes,MTGO ID
"Elite Scaleguard",5,"Creature - Human Soldier",W,"frf","12",uncommon,w,Not Owned,Non-foil,false,,,"counters, tappers, humans, blink, counters_payoff, soldiers, aggrocontrol, u2.60, u4.7, core","",55560,
"Reveillark",5,"Creature - Elemental",W,"c20","97",rare,w,Owned,Non-foil,false,,,"core, fliers, blink","",,
"Serra Angel",5,"Creature - Angel",W,"gnt","16",uncommon,w,Owned,Non-foil,false,,,"occasional","",,
"Sunscorch Regent",5,"Creature - Dragon",W,"c17","74",rare,w,Owned,Non-foil,false,,,"occasional","",,
"World Queller",5,"Creature - Avatar",W,"zen","39",rare,w,Owned,Non-foil,false,,,"occasional","",34654,
"Exalted Angel",6,"Creature - Angel",W,"v15","8",mythic,w,Owned,Non-foil,false,,,"occasional","",58925,
"Felidar Sovereign",6,"Creature - Cat Beast",W,"bfz","26",rare,w,Owned,Non-foil,false,,,"occasional","",58283,
"Sunblast Angel",6,"Creature - Angel",W,"c14","92",rare,w,Not Owned,Non-foil,false,,,"tappers, blink, ramp, reanimator, enrage, tappers_payoff, evasion, control, u2.74, u4.4, removal, core","",54897,
"Weathered Bodyguards",6,"Creature - Human Soldier",W,"tsp","46",rare,w,Owned,Non-foil,false,,,"occasional","",25925,
"Yosei, the Morning Star",6,"Legendary Creature - Dragon Spirit",W,"ima","39",rare,w,Owned,Non-foil,false,,,"occasional","",65957,
"Akroma, Angel of Wrath",8,"Legendary Creature - Angel",W,"c20","73",mythic,w,Owned,Non-foil,false,,,"occasional","",,
"Angel of Serenity",7,"Creature - Angel",W,"cm2","16",mythic,w,Owned,Non-foil,false,,,"occasional","",,
"Eternal Dragon",7,"Creature - Dragon Spirit",W,"c20","88",rare,w,Owned,Non-foil,false,,,"occasional","",,
"Myojin of Cleansing Fire",8,"Legendary Creature - Spirit",W,"chk","35",rare,w,Owned,Non-foil,false,,,"occasional","",21215,
"Realm-Cloaked Giant",7,"Creature - Giant",W,"eld","26",mythic,w,Owned,Non-foil,false,,,"occasional","",78146,
"Sephara, Sky's Blade",7,"Legendary Creature - Angel",W,"m20","36",rare,w,Owned,Non-foil,false,,,"occasional","",72971,
"Condemn",1,"Instant",W,"c17","58",uncommon,w,Owned,Non-foil,false,,,"occasional","",,
"Emerge Unscathed",1,"Instant",W,"roe","20",uncommon,w,Not Owned,Non-foil,false,,,"heroic, spells, flash, aggrocontrol, u3.4, core","",36714,
"Harm's Way",1,"Instant",W,"ddg","23",uncommon,w,Owned,Non-foil,false,,,"occasional","",40102,
"Light of Hope",1,"Instant",W,"iko","20",common,w,Owned,Non-foil,false,,,"u4.9.3, lifegain, enchantment_removal, counters, heroic, spells, flash, core","",80049,
"Mana Tithe",1,"Instant",W,"plc","25",common,w,Owned,Non-foil,false,,,"occasional","",26511,
"Swords to Plowshares",1,"Instant",W,"bbd","110",uncommon,w,Owned,Non-foil,false,,,"occasional","",,
"Take Heart",1,"Instant",W,"grn","28",common,w,Owned,Non-foil,false,,,"occasional","",69429,
"Guided Strike",2,"Instant",W,"ima","23",common,w,Owned,Non-foil,false,,,"occasional","",65925,
"In Oketra's Name",2,"Instant",W,"akh","19",common,w,Owned,Non-foil,false,,,"occasional","",63640,
"Redeem the Lost",2,"Instant",W,"mor","21",uncommon,w,Owned,Non-foil,false,,,"occasional","",28980,
"Shelter",2,"Instant",W,"mh1","28",common,w,Owned,Non-foil,false,,,"occasional","",72428,
"Shining Shoal",2,"Instant - Arcane",W,"bok","21",rare,w,Owned,Non-foil,false,,,"occasional","",21773,
"Test of Faith",2,"Instant",W,"mma","33",common,w,Not Owned,Non-foil,false,,,"enrage, counters, spells, flash, heroic, aggrocontrol, u2.77, core","",48928,
"Blinding Beam",3,"Instant",W,"mrd","7",common,w,Not Owned,Non-foil,false,,,"tappers, flash, spells, aggrocontrol, u3.0, core","",19773,
"Choking Fumes",3,"Instant",W,"mbs","4",uncommon,w,Owned,Non-foil,false,,,"occasional","",39463,
"Devouring Light",3,"Instant",W,"gk1","103",uncommon,w,Owned,Non-foil,false,,,"u2.89, flash, spells, tokens, wide, removal, core","",,
"Embolden",3,"Instant",W,"ody","22",common,w,Owned,Non-foil,false,,,"occasional","",17029,
"Fortify",3,"Instant",W,"mm2","17",common,w,Owned,Non-foil,false,,,"occasional","",57502,
"Hold the Line",3,"Instant",W,"ddn","66",rare,w,Owned,Non-foil,false,,,"occasional","",,
"Pitfall Trap",3,"Instant - Trap",W,"mm3","18",common,w,Owned,Non-foil,false,,,"occasional","",63203,
"Prismatic Strands",3,"Instant",W,"c19","69",common,w,Owned,Non-foil,false,,,"occasional","",77252,
"Pulse of the Fields",3,"Instant",W,"dst","11",rare,w,Owned,Non-foil,false,,,"occasional","",20487,
"Safe Passage",3,"Instant",W,"m13","30",common,w,Owned,Non-foil,false,,,"occasional","",45296,
"Wing Shards",3,"Instant",W,"mh1","38",uncommon,w,Owned,Non-foil,false,,,"occasional","",72448,
"Chastise",4,"Instant",W,"9ed","9",uncommon,w,Owned,Non-foil,false,,,"occasional","",22697,
"Refraction Trap",4,"Instant - Trap",W,"wwk","17",uncommon,w,Owned,Non-foil,false,,,"occasional","",35767,
"Settle the Wreckage",4,"Instant",W,"xln","34",rare,w,Owned,Non-foil,false,,,"occasional","",65080,
"Tenacity",4,"Instant",W,"soi","42",uncommon,w,Owned,Non-foil,false,,,"occasional","",60190,
"Arrow Volley Trap",5,"Instant - Trap",W,"ddn","71",uncommon,w,Owned,Non-foil,false,,,"occasional","",,
"Second Thoughts",5,"Instant",W,"ema","27",common,w,Owned,Non-foil,false,,,"occasional","",60693,
"Gird for Battle",1,"Sorcery",W,"grn","12",uncommon,w,Not Owned,Non-foil,false,,,"counters, heroic, spells, aggrocontrol, u4.6.4, core","",69397,
"Balance",2,"Sorcery",W,"ema","2",mythic,w,Owned,Non-foil,false,,,"occasional","",60981,
"Sheer Drop",3,"Sorcery",W,"bfz","48",common,w,Not Owned,Non-foil,false,,,"manasink, tappers_payoff, counters, tappers, u4.7.7, removal, core","",58333,
"Day of Judgment",4,"Sorcery",W,"zen","9",rare,w,Not Owned,Non-foil,false,,,"control, spells, wrath, u2.0, removal, core","",34552,
"Decree of Justice",4,"Sorcery",W,"c20","85",rare,w,Owned,Non-foil,false,,,"occasional","",,
"Great Teacher's Decree",4,"Sorcery",W,"dtk","21",uncommon,w,Not Owned,Non-foil,false,,,"tokens, spells, wide, u3.9, core","",55954,
"Sram's Expertise",4,"Sorcery",W,"aer","24",rare,w,Owned,Non-foil,false,,,"occasional","",62609,
"Wrath of God",4,"Sorcery",W,"ema","38",rare,w,Owned,Non-foil,false,,,"occasional","",60649,
"Akroma's Vengeance",6,"Sorcery",W,"c20","74",rare,w,Owned,Non-foil,false,,,"occasional","",,
"Catastrophe",6,"Sorcery",W,"usg","6",rare,w,Owned,Non-foil,false,,,"occasional","",12283,
"Approach of the Second Sun",7,"Sorcery",W,"akh","4",rare,w,Owned,Non-foil,false,,,"occasional","",63610,
"Hour of Reckoning",7,"Sorcery",W,"c19","65",rare,w,Owned,Non-foil,false,,,"occasional","",77244,
"Ancestral Blade",2,"Artifact - Equipment",W,"m20","3",uncommon,w,Not Owned,Non-foil,false,,,"artifacts, tokens, heroic, soldiers, u4.7.7, core","",72905,
"Glass Casket",2,"Artifact",W,"eld","15",uncommon,w,Not Owned,Non-foil,false,,,"artifacts, u4.9, removal, core","",78122,
"Legion's Landing",1,"Legendary Enchantment",W,"xln","22",rare,w,Owned,Non-foil,false,,,"occasional","",65054,
"Myth Realized",1,"Enchantment",W,"dtk","26",rare,w,Owned,Non-foil,false,,,"occasional","",56212,
"Bonds of Faith",2,"Enchantment - Aura",W,"isd","5",common,w,Not Owned,Non-foil,false,,,"humans, heroic, tribal_payoff, u2.70, u4.4, removal, core","",42358,
"Dawn of Hope",2,"Enchantment",W,"grn","8",rare,w,Not Owned,Non-foil,false,,,"flash, lifegain, tokens, sacrifice, manasink, wide, soldiers, u4.6.1, core, lifegain_payoff","",69389,
"Intangible Virtue",2,"Enchantment",W,"ema","15",uncommon,w,Not Owned,Non-foil,false,,,"tokens, wide, u2.87, u4.1, core","",60725,
"Journey to Nowhere",2,"Enchantment",W,"cmd","17",common,w,Owned,Non-foil,false,,,"occasional","",40568,
"Shared Triumph",2,"Enchantment",W,"ons","53",rare,w,Owned,Non-foil,false,,,"tribal_payoff, tribal, core","",17765,
"The Birth of Meletis",2,"Enchantment - Saga",W,"thb","5",uncommon,w,Owned,Non-foil,false,,,"core, artifacts, tokens, control, lifegain","",79134,
"Glorious Anthem",3,"Enchantment",W,"10e","17",rare,w,Owned,Non-foil,false,,,"occasional","",27288,
"Griffin Guide",3,"Enchantment - Aura",W,"tsp","21",uncommon,w,Owned,Non-foil,false,,,"occasional","",25567,
"Lashknife Barrier",3,"Enchantment",W,"pls","9",uncommon,w,Owned,Non-foil,false,,,"occasional","",15257,
"Oblivion Ring",3,"Enchantment",W,"arc","3",common,w,Not Owned,Non-foil,false,,,"artifact_removal, enchantment_removal, u2.0, removal, core","",,
"Prison Term",3,"Enchantment - Aura",W,"cmd","27",uncommon,w,Owned,Non-foil,false,,,"occasional","",40520,
"Promise of Bunrei",3,"Enchantment",W,"a25","30",uncommon,w,Owned,Non-foil,false,,,"occasional","",66974,
"Recumbent Bliss",3,"Enchantment - Aura",W,"eve","13",common,w,Not Owned,Non-foil,false,,,"lifegain, u2.0, u3.4, removal, core","",30100,
"Anointed Procession",4,"Enchantment",W,"akh","2",rare,w,Owned,Non-foil,false,,,"occasional","",63606,
"Faith Unbroken",4,"Enchantment - Aura",W,"emn","24",uncommon,w,Owned,Non-foil,false,,,"u4.9.3, heroic, removal, core","",61072,
"Faith's Fetters",4,"Enchantment - Aura",W,"rav","16",common,w,Not Owned,Non-foil,false,,,"lifegain, artifact_removal, control, u2.0, removal, core","",23020,
"Righteous Cause",5,"Enchantment",W,"cma","21",uncommon,w,Owned,Non-foil,false,,,"occasional","",,
"Overwhelming Splendor",8,"Enchantment - Aura Curse",W,"hou","19",mythic,w,Owned,Non-foil,false,,,"occasional","",64522,
"Cloudfin Raptor",1,"Creature - Bird Mutant",U,"gtc","32",common,u,Not Owned,Non-foil,false,,,"fliers, counters, evasion, wide, aggrocontrol, u2.63, occasional","",47523,
"Delver of Secrets",1,"Creature - Human Wizard ",U,"isd","51",common,u,Not Owned,Non-foil,false,,,"wizards, humans, spells, evasion, aggrocontrol, u2.0, u3.4, core","",42436,
"Drifter il-Dal",1,"Creature - Human Wizard",U,"tsp","59",common,u,Owned,Non-foil,false,,,"occasional","",25479,
"Enclave Cryptologist",1,"Creature - Merfolk Wizard",U,"roe","66",uncommon,u,Owned,Non-foil,false,,,"occasional","",36660,
"Gudul Lurker",1,"Creature - Salamander",U,"dtk","56",uncommon,u,Owned,Non-foil,false,,,"occasional","",55942,
"Hedron Crab",1,"Creature - Crab",U,"zen","47",uncommon,u,Owned,Non-foil,false,,,"occasional","",34460,
"Pteramander",1,"Creature - Salamander Drake",U,"rna","47",uncommon,u,Owned,Non-foil,false,,,"core, fliers, spells, flash, graveyard, counters","",71094,
"Siren Stormtamer",1,"Creature - Siren Pirate Wizard",U,"xln","79",uncommon,u,Not Owned,Non-foil,false,,,"wizards, fliers, flash, wide, heroic, evasion, aggrocontrol, u3.3, core","",65172,
"Spectral Sailor",1,"Creature - Spirit Pirate",U,"m20","76",uncommon,u,Not Owned,Non-foil,false,,,"flash, fliers, manasink, wide, evasion, aggrocontrol, u4.7.7, core","",73051,
"Baral, Chief of Compliance",2,"Legendary Creature - Human Wizard",U,"aer","28",rare,u,Owned,Non-foil,false,,,"occasional","",62653,
"Brineborn Cutthroat",2,"Creature - Merfolk Pirate",U,"m20","50",uncommon,u,Not Owned,Non-foil,false,,,"flash, aggrocontrol, u4.7.7, core","",72999,
"Dragon's Eye Savants",2,"Creature - Human Wizard",U,"a25","54",common,u,Owned,Non-foil,false,,,"occasional","",67022,
"Fae of Wishes",2,"Creature - Faerie Wizard ",U,"eld","44",rare,u,Not Owned,Non-foil,false,,,"fliers, graveyard, spells, wizards, evasion, u4.8, core","",78192,
"Ghostly Pilferer",2,"Creature - Spirit Rogue",U,"m21","52",rare,u,Owned,Non-foil,false,,,"core, graveyard, aggrocontrol, rogues","",81331,
"Lighthouse Chronologist",2,"Creature - Human Wizard",U,"roe","75",mythic,u,Owned,Non-foil,false,,,"occasional","",36574,
"Looter il-Kor",2,"Creature - Kor Rogue",U,"tsp","66",common,u,Not Owned,Non-foil,false,,,"graveyard, reanimator, wide, burn, evasion, aggrocontrol, u2.0, smoothing, core, rogues","",25851,
"Merfolk Trickster",2,"Creature - Merfolk Wizard",U,"dom","56",uncommon,u,Not Owned,Non-foil,false,,,"wizards, flash, blink, tappers, aggrocontrol, u4.7.10, core","",67577,
"Mystic Archaeologist",2,"Creature - Human Wizard",U,"m19","63",rare,u,Owned,Non-foil,false,,,"occasional","",68287,
"Nightveil Sprite",2,"Creature - Faerie Rogue",U,"grn","48",uncommon,u,Not Owned,Non-foil,false,,,"graveyard, fliers, wide, evasion, aggrocontrol, u4.6.4, smoothing, core, rogues","",69469,
"Rattlechains",2,"Creature - Spirit",U,"soi","81",rare,u,Owned,Non-foil,false,,,"occasional","",59790,
"Spellskite",2,"Artifact Creature - Horror",U,"mm2","230",rare,u,Owned,Non-foil,false,,,"occasional","",57318,
"Stratus Dancer",2,"Creature - Djinn Monk",U,"c19","96",rare,u,Owned,Non-foil,false,,,"occasional","",77306,
"Thassa's Oracle",2,"Creature - Merfolk Wizard",U,"thb","73",rare,u,Owned,Non-foil,false,,,"core, wizards, control, blink","",79270,
"Thieving Skydiver",2,"Creature - Merfolk Rogue",U,"znr","85",rare,u,Owned,Non-foil,false,,,"core, fliers, aggrocontrol, artifacts, rogues","",83127,
"Thought Courier",2,"Creature - Human Wizard",U,"5dn","38",common,u,Not Owned,Non-foil,false,,,"humans, wizards, graveyard, control, u4.9, smoothing, core","",20914,
"Voidmage Prodigy",2,"Creature - Human Wizard",U,"tsb","34",rare,u,Owned,Non-foil,false,,,"occasional","",26203,
"Waterfront Bouncer",2,"Creature - Merfolk Spellshaper",U,"mmq","114",common,u,Owned,Non-foil,false,,,"occasional","",13175,
"Wharf Infiltrator",2,"Creature - Human Horror",U,"emn","80",rare,u,Owned,Non-foil,false,,,"occasional","",61332,
"Aether Adept",3,"Creature - Human Wizard",U,"m11","41",common,u,Owned,Non-foil,false,,,"humans, wizards, aggrocontrol, blink, u2.63, u2.80, u4.9.2, core","",37390,
"Ambassador Laquatus",3,"Legendary Creature - Merfolk Wizard",U,"10e","65",rare,u,Owned,Non-foil,false,,,"occasional","",27156,
"Champion of Wits",3,"Creature - Naga Wizard",U,"hou","31",rare,u,Not Owned,Non-foil,false,,,"zombies, wizards, graveyard, heroic, manasink, blink, tokens, reanimator, u3.4, smoothing, core","",64546,
"Grand Architect",3,"Creature - Vedalken Artificer",U,"som","33",rare,u,Owned,Non-foil,false,,,"occasional","",38193,
"Master of Etherium",3,"Artifact Creature - Vedalken Wizard",U,"c16","92",rare,u,Owned,Non-foil,false,,,"occasional","",,
"Nimble Obstructionist",3,"Creature - Bird Wizard",U,"hou","40",rare,u,Not Owned,Non-foil,false,,,"wizards, fliers, flash, evasion, aggrocontrol, u3.2, core","",64564,
"Patron Wizard",3,"Creature - Human Wizard",U,"ody","89",rare,u,Owned,Non-foil,false,,,"occasional","",16875,
"Pestermite",3,"Creature - Faerie Rogue",U,"mma","59",common,u,Not Owned,Non-foil,false,,,"fliers, tappers, flash, twin, blink, evasion, aggrocontrol, u3.4, core, rogues","",48676,
"Prodigal Sorcerer",3,"Creature - Human Wizard",U,"ema","67",uncommon,u,Not Owned,Non-foil,false,,,"humans, pingers, wizards, u2.89, u3.4, occasional","",60893,
"Sea Gate Oracle",3,"Creature - Human Wizard",U,"mm3","48",common,u,Not Owned,Non-foil,false,,,"wizards, humans, blink, u2.0, smoothing, core","",63225,
"Shaper Parasite",3,"Creature - Illusion",U,"c14","125",common,u,Owned,Non-foil,false,,,"occasional","",54635,
"Shu Yun, the Silent Tempest",3,"Legendary Creature - Human Monk",U,"frf","52",rare,m,Owned,Non-foil,false,,,"occasional","",55342,
"Thassa, God of the Sea",3,"Legendary Enchantment Creature - God",U,"ths","66",mythic,u,Owned,Non-foil,false,,,"occasional","",50306,
"Trinket Mage",3,"Creature - Human Wizard",U,"som","48",uncommon,u,Not Owned,Non-foil,false,,,"wizards, humans, artifacts, blink, stax, u2.61, u3.2, core","",38255,
"Wake Thrasher",3,"Creature - Merfolk Soldier",U,"eve","31",rare,u,Not Owned,Non-foil,false,,,"soldiers, aggrocontrol, u2.0, occasional","",30196,
"Clone",4,"Creature - Shapeshifter",U,"m14","47",rare,u,Owned,Non-foil,false,,,"occasional","",49591,
"Elite Arcanist",4,"Creature - Human Wizard",U,"m14","54",rare,u,Owned,Non-foil,false,,,"occasional","",49523,
"Master of Waves",4,"Creature - Merfolk Wizard",U,"ths","53",mythic,u,Owned,Non-foil,false,,,"occasional","",50550,
"Murmuring Mystic",4,"Creature - Human Wizard",U,"grn","45",uncommon,u,Not Owned,Non-foil,false,,,"wizards, humans, spells, tokens, enrage, evasion, u4.6.1, core","",69463,
"Ninja of the Deep Hours",4,"Creature - Human Ninja",U,"c18","95",common,u,Owned,Non-foil,false,,,"occasional","",,
"Whirler Rogue",4,"Creature - Human Rogue Artificer",U,"gnt","25",uncommon,u,Owned,Non-foil,false,,,"core, artifacts, tokens, fliers, wide, blink, pingers, humans, rogues","",,
"Wing Splicer",4,"Creature - Human Artificer",U,"mm3","57",uncommon,u,Not Owned,Non-foil,false,,,"humans, fliers, artifacts, golems, blink, tokens, wide, stax, evasion, aggrocontrol, u2.67, u3.1, core","",63255,
"Azami, Lady of Scrolls",5,"Legendary Creature - Human Wizard",U,"c13","31",rare,u,Not Owned,Non-foil,false,,,"wizards, humans, tribal_payoff, u4.6.3, core","",51458,
"Djinn of Wishes",5,"Creature - Djinn",U,"c18","87",rare,u,Owned,Non-foil,false,,,"occasional","",,
"Docent of Perfection",5,"Creature - Insect Horror",U,"emn","56",rare,u,Not Owned,Non-foil,false,,,"fliers, wizards, control, spells, humans, u4.9, core","",61132,
"Mulldrifter",5,"Creature - Elemental",U,"c20","117",uncommon,u,Owned,Non-foil,false,,,"occasional","",,
"Willbreaker",5,"Creature - Human Wizard",U,"ori","84",rare,u,Not Owned,Non-foil,false,,,"wizards, humans, pingers, heroic, u3.9, occasional","",57774,
"Arcanis the Omnipotent",6,"Legendary Creature - Wizard",U,"c17","80",rare,u,Owned,Non-foil,false,,,"occasional","",,
"Draining Whelk",6,"Creature - Illusion",U,"tsp","57",rare,u,Owned,Non-foil,false,,,"occasional","",25587,
"Keiga, the Tide Star",6,"Legendary Creature - Dragon Spirit",U,"ima","63",rare,u,Owned,Non-foil,false,,,"occasional","",66005,
"Quicksilver Dragon",6,"Creature - Dragon",U,"jvc","19",rare,u,Owned,Non-foil,false,,,"occasional","",,
